MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
367396710,2021-01-01T07:49:53,37.79216,-122.28553,0.1,337.9,270.0
367396710,2021-01-01T07:53:23,37.79216,-122.28553,0.1,6.7,270.0
367396710,2021-01-01T07:54:32,37.79216,-122.28553,0.1,295.2,270.0
367396710,2021-01-01T07:55:42,37.79216,-122.28553,0.1,118.4,270.0
367396710,2021-01-01T08:14:12,37.79217,-122.28553,0.1,238.0,270.0
367396710,2021-01-01T08:15:23,37.79217,-122.28553,0.1,269.5,270.0
367396710,2021-01-01T08:22:12,37.79217,-122.28553,0.1,13.6,271.0
367396710,2021-01-01T08:01:12,37.79217,-122.28553,0.1,57.5,270.0
367396710,2021-01-01T08:17:32,37.79217,-122.28553,0.1,225.5,270.0
367396710,2021-01-01T08:21:02,37.79217,-122.28553,0.2,324.5,270.0
367396710,2021-01-01T08:36:42,37.79217,-122.28553,0.1,178.9,269.0
367396710,2021-01-01T08:27:53,37.79217,-122.28552,0.1,347.7,270.0
367396710,2021-01-01T08:29:02,37.79217,-122.28552,0.1,93.5,270.0
367396710,2021-01-01T08:34:32,37.79217,-122.28553,0.1,140.2,269.0
367396710,2021-01-01T08:35:33,37.79217,-122.28553,0.1,313.5,269.0
367396710,2021-01-01T08:37:43,37.79217,-122.28553,0.1,223.6,268.0
367396710,2021-01-01T08:45:53,37.79218,-122.28553,0.1,44.4,269.0
367396710,2021-01-01T08:47:02,37.79219000000001,-122.28553,0.2,263.4,270.0
367396710,2021-01-01T08:30:03,37.79217,-122.28552,0.1,267.4,269.0
367396710,2021-01-01T08:51:43,37.79218,-122.28553,0.1,261.3,271.0
367396710,2021-01-01T09:03:33,37.79218,-122.28553,0.1,53.0,271.0
367396710,2021-01-01T08:56:22,37.79218,-122.28553,0.1,114.1,270.0
367396710,2021-01-01T08:59:52,37.79219000000001,-122.28553,0.1,193.5,270.0
367396710,2021-01-01T09:08:13,37.79218,-122.28553,0.1,52.4,271.0
367396710,2021-01-01T08:55:12,37.79218,-122.28553,0.1,341.6,270.0
367396710,2021-01-01T09:04:42,37.79218,-122.28553,0.1,165.4,270.0
367396710,2021-01-01T09:02:23,37.79219000000001,-122.28553,0.1,59.0,270.0
367396710,2021-01-01T09:12:51,37.79219000000001,-122.28554,0.1,357.6,269.0
367396710,2021-01-01T09:25:33,37.79219000000001,-122.28554,0.1,226.8,269.0
367396710,2021-01-01T09:21:52,37.79219000000001,-122.28554,0.2,357.5,268.0
367396710,2021-01-01T09:24:12,37.79219000000001,-122.28554,0.1,136.9,269.0
367396710,2021-01-01T09:30:01,37.79219000000001,-122.28554,0.1,352.1,268.0
367396710,2021-01-01T09:27:43,37.79219000000001,-122.28554,0.1,319.0,269.0
367396710,2021-01-01T09:53:43,37.79219000000001,-122.28554,0.1,15.0,268.0
367396710,2021-01-01T09:52:42,37.79219000000001,-122.28554,0.1,231.2,268.0
367396710,2021-01-01T09:58:23,37.79219000000001,-122.28554,0.1,34.7,266.0
367396710,2021-01-01T10:04:42,37.79219000000001,-122.28554,0.1,126.5,266.0
367396710,2021-01-01T10:02:23,37.79219000000001,-122.28554,0.1,341.0,266.0
367396710,2021-01-01T09:51:32,37.79219000000001,-122.28554,0.1,190.9,268.0
367396710,2021-01-01T09:44:33,37.79219000000001,-122.28554,0.1,255.6,269.0
367396710,2021-01-01T09:45:43,37.79219000000001,-122.28554,0.1,182.0,269.0
367396710,2021-01-01T10:10:21,37.79219000000001,-122.28554,0.1,202.5,265.0
367396710,2021-01-01T10:17:12,37.79217,-122.28553,0.1,101.2,270.0
367396710,2021-01-01T10:09:11,37.79219000000001,-122.28554,0.1,6.0,266.0
367396710,2021-01-01T10:24:12,37.79218,-122.28553,0.1,312.7,271.0
367396710,2021-01-01T10:16:03,37.79217,-122.28553,0.1,147.9,271.0
367396710,2021-01-01T10:14:52,37.79218,-122.28553,0.1,331.4,268.0
367396710,2021-01-01T10:05:52,37.79219000000001,-122.28554,0.1,156.3,266.0
367396710,2021-01-01T10:28:22,37.79255,-122.29032,8.1,263.1,264.0
367396710,2021-01-01T10:34:13,37.7935,-122.31014,9.9,285.5,286.0
367396710,2021-01-01T10:26:16,37.79238,-122.28558999999998,3.2,309.6,320.0
367396710,2021-01-01T10:27:18,37.79303,-122.28738,7.1,262.0,258.0
367396710,2021-01-01T10:29:33,37.79217,-122.29398,9.5,269.2,268.0
367396710,2021-01-01T10:40:01,37.79844,-122.32937,9.9,287.5,287.0
367396710,2021-01-01T10:41:13,37.79949000000001,-122.33326,9.9,289.6,287.0
367396710,2021-01-01T10:42:22,37.80056,-122.33714,10.0,292.6,292.0
367396710,2021-01-01T10:35:22,37.79448,-122.31393,9.9,287.5,286.0
367396710,2021-01-01T10:30:42,37.79222,-122.29802,10.0,271.3,271.0
367396710,2021-01-01T10:33:02,37.79269,-122.30612,10.0,281.9,282.0
367396710,2021-01-01T10:13:43,37.7922,-122.28553,0.1,124.4,265.0
367396710,2021-01-01T10:37:42,37.79647,-122.32165,9.8,287.6,287.0
367396710,2021-01-01T10:49:22,37.81406,-122.35515,10.2,324.1,325.0
367396710,2021-01-01T10:38:52,37.79747,-122.3255,9.9,287.3,287.0
367396710,2021-01-01T10:45:53,37.80685,-122.34675,10.2,314.1,313.0
367396710,2021-01-01T10:47:03,37.80917,-122.3497,10.0,316.2,316.0
367396710,2021-01-01T10:43:32,37.80218,-122.34068,10.3,307.9,307.0
